t=2026-07-19T22:07:06+0700 lvl=info msg="no configuration paths supplied"
t=2026-07-19T22:07:06+0700 lvl=info msg="using configuration at default config path" path=/home/ali-juelon/.config/ngrok/ngrok.yml
t=2026-07-19T22:07:06+0700 lvl=info msg="open config file" path=/home/ali-juelon/.config/ngrok/ngrok.yml err=nil
t=2026-07-19T22:07:06+0700 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-07-19T22:07:06+0700 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-07-19T22:07:07+0700 lvl=info msg="client session established" obj=tunnels.session
t=2026-07-19T22:07:07+0700 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-07-20T01:51:42+0700 lvl=info msg="join connections" obj=join id=190ac835c0d4 l=127.0.0.1:8001 r=[2001:448a:1041:40f9:783c:8b86:3817:8932]:49806
t=2026-07-20T01:51:52+0700 lvl=info msg="join connections" obj=join id=48301260dae7 l=127.0.0.1:8001 r=[2001:448a:1041:40f9:783c:8b86:3817:8932]:49806
t=2026-07-20T01:51:53+0700 lvl=info msg="join connections" obj=join id=d832ee312ed8 l=127.0.0.1:8001 r=[2001:448a:1041:40f9:783c:8b86:3817:8932]:49806
t=2026-07-20T01:51:53+0700 lvl=info msg="join connections" obj=join id=34ed9bc695ca l=127.0.0.1:8001 r=[2001:448a:1041:40f9:783c:8b86:3817:8932]:49806
t=2026-07-20T01:51:53+0700 lvl=info msg="join connections" obj=join id=cf584b19a632 l=127.0.0.1:8001 r=[2001:448a:1041:40f9:783c:8b86:3817:8932]:49806
t=2026-07-20T01:51:53+0700 lvl=info msg="join connections" obj=join id=0aef2cc508d1 l=127.0.0.1:8001 r=[2001:448a:1041:40f9:783c:8b86:3817:8932]:49806
t=2026-07-20T01:51:53+0700 lvl=info msg="join connections" obj=join id=d47f504edaba l=127.0.0.1:8001 r=[2001:448a:1041:40f9:783c:8b86:3817:8932]:49806
t=2026-07-20T01:51:53+0700 lvl=info msg="join connections" obj=join id=8dd21f659f61 l=127.0.0.1:8001 r=[2001:448a:1041:40f9:783c:8b86:3817:8932]:49806
t=2026-07-20T01:51:53+0700 lvl=info msg="join connections" obj=join id=19497c694281 l=127.0.0.1:8001 r=[2001:448a:1041:40f9:783c:8b86:3817:8932]:49806
t=2026-07-20T01:51:53+0700 lvl=info msg="join connections" obj=join id=506263aafbb8 l=127.0.0.1:8001 r=[2001:448a:1041:40f9:783c:8b86:3817:8932]:49806
t=2026-07-20T01:51:56+0700 lvl=info msg="join connections" obj=join id=8e4f6b858e2d l=127.0.0.1:8001 r=[2001:448a:1041:40f9:783c:8b86:3817:8932]:49806
t=2026-07-20T01:53:14+0700 lvl=info msg="join connections" obj=join id=ffd95fd49628 l=127.0.0.1:8001 r=[2001:448a:1041:40f9:783c:8b86:3817:8932]:49806
t=2026-07-20T01:53:15+0700 lvl=info msg="join connections" obj=join id=4c62a06a48bf l=127.0.0.1:8001 r=[2001:448a:1041:40f9:783c:8b86:3817:8932]:49806
t=2026-07-20T01:53:15+0700 lvl=info msg="join connections" obj=join id=0ed95cd8d7ef l=127.0.0.1:8001 r=[2001:448a:1041:40f9:783c:8b86:3817:8932]:49806
t=2026-07-20T01:53:15+0700 lvl=info msg="join connections" obj=join id=b88d70cc9cc3 l=127.0.0.1:8001 r=[2001:448a:1041:40f9:783c:8b86:3817:8932]:49806
t=2026-07-20T01:53:15+0700 lvl=info msg="join connections" obj=join id=784f33231948 l=127.0.0.1:8001 r=[2001:448a:1041:40f9:783c:8b86:3817:8932]:49806
t=2026-07-20T01:53:15+0700 lvl=info msg="join connections" obj=join id=573d2d8da4ad l=127.0.0.1:8001 r=[2001:448a:1041:40f9:783c:8b86:3817:8932]:49806
t=2026-07-20T01:53:15+0700 lvl=info msg="join connections" obj=join id=a8a299d08a4f l=127.0.0.1:8001 r=[2001:448a:1041:40f9:783c:8b86:3817:8932]:49806
t=2026-07-20T01:53:18+0700 lvl=info msg="join connections" obj=join id=04178ae332dd l=127.0.0.1:8001 r=[2001:448a:1041:40f9:783c:8b86:3817:8932]:49806
t=2026-07-20T02:00:00+0700 lvl=info msg="join connections" obj=join id=ea11c40666de l=127.0.0.1:8001 r=[2001:448a:1041:40f9:783c:8b86:3817:8932]:49806
t=2026-07-20T02:00:01+0700 lvl=info msg="join connections" obj=join id=19607ccad3ff l=127.0.0.1:8001 r=[2001:448a:1041:40f9:783c:8b86:3817:8932]:49806
t=2026-07-20T02:00:11+0700 lvl=info msg="join connections" obj=join id=fb0afaf57791 l=127.0.0.1:8001 r=[2001:448a:1041:40f9:783c:8b86:3817:8932]:49806
t=2026-07-20T02:00:12+0700 lvl=info msg="join connections" obj=join id=c7e0009fe616 l=127.0.0.1:8001 r=[2001:448a:1041:40f9:783c:8b86:3817:8932]:49806
t=2026-07-20T02:00:12+0700 lvl=info msg="join connections" obj=join id=a9da7684144d l=127.0.0.1:8001 r=[2001:448a:1041:40f9:783c:8b86:3817:8932]:49806
t=2026-07-20T02:00:12+0700 lvl=info msg="join connections" obj=join id=a4bb1dfd4429 l=127.0.0.1:8001 r=[2001:448a:1041:40f9:783c:8b86:3817:8932]:49806
t=2026-07-20T02:00:12+0700 lvl=info msg="join connections" obj=join id=890138a2f5c3 l=127.0.0.1:8001 r=[2001:448a:1041:40f9:783c:8b86:3817:8932]:49806
t=2026-07-20T02:00:26+0700 lvl=info msg="join connections" obj=join id=5a4f60e652c2 l=127.0.0.1:8001 r=[2001:448a:1041:40f9:783c:8b86:3817:8932]:49806
t=2026-07-20T02:00:27+0700 lvl=info msg="join connections" obj=join id=385d628b0fd9 l=127.0.0.1:8001 r=[2001:448a:1041:40f9:783c:8b86:3817:8932]:49806
t=2026-07-20T02:00:27+0700 lvl=info msg="join connections" obj=join id=ffa43b9ce0c4 l=127.0.0.1:8001 r=[2001:448a:1041:40f9:783c:8b86:3817:8932]:49806
t=2026-07-20T02:00:27+0700 lvl=info msg="join connections" obj=join id=14fa25db3115 l=127.0.0.1:8001 r=[2001:448a:1041:40f9:783c:8b86:3817:8932]:49806
t=2026-07-20T02:00:27+0700 lvl=info msg="join connections" obj=join id=56de8e7e8460 l=127.0.0.1:8001 r=[2001:448a:1041:40f9:783c:8b86:3817:8932]:49806
t=2026-07-20T02:00:27+0700 lvl=info msg="join connections" obj=join id=a429a415b920 l=127.0.0.1:8001 r=[2001:448a:1041:40f9:783c:8b86:3817:8932]:49806
t=2026-07-20T02:00:27+0700 lvl=info msg="join connections" obj=join id=eb7aad65e672 l=127.0.0.1:8001 r=[2001:448a:1041:40f9:783c:8b86:3817:8932]:49806
t=2026-07-20T02:00:27+0700 lvl=info msg="join connections" obj=join id=7f586754e722 l=127.0.0.1:8001 r=[2001:448a:1041:40f9:783c:8b86:3817:8932]:49806
t=2026-07-20T02:00:27+0700 lvl=info msg="join connections" obj=join id=f9e8728ffae4 l=127.0.0.1:8001 r=[2001:448a:1041:40f9:783c:8b86:3817:8932]:49806
t=2026-07-20T02:00:29+0700 lvl=info msg="join connections" obj=join id=9d56eae40029 l=127.0.0.1:8001 r=[2001:448a:1041:40f9:783c:8b86:3817:8932]:49806
